timestamp,elapsed_sec,backend_cpu_pct,backend_mem_mb,postgres_cpu_pct,postgres_mem_mb,db_connections,db_active,db_idle_in_txn,max_query_sec,wait_events
2026-08-25T19:40:13,0,0.20,198.8,0.00,165.1,11,1,0,0.0,running:1
2026-08-25T19:40:21,8,3.41,201.1,3.78,165.5,11,1,0,0.0,running:1
2026-08-25T19:40:29,15,9.72,205.6,4.46,166.1,11,1,0,0.0,running:1
2026-08-25T19:40:37,23,12.86,209.8,9.64,166.8,11,2,0,0.0,running:2
2026-08-25T19:40:44,31,15.66,214,11.40,167.1,11,1,0,0.0,running:1
2026-08-25T19:40:51,38,10.22,217.2,16.40,167.4,11,1,0,0.0,running:1
2026-08-25T19:40:59,45,25.33,220.2,20.27,167.4,11,1,0,0.0,running:1
2026-08-25T19:41:06,53,17.12,221.2,23.52,168.3,11,1,0,0.0,running:1
2026-08-25T19:41:13,60,13.41,221.4,27.31,168.7,11,2,0,0.0,running:2
2026-08-25T19:41:21,67,16.02,223,31.76,168.5,11,1,0,0.0,running:1
2026-08-25T19:41:28,75,15.28,223.6,30.98,169,11,1,0,0.0,running:1
2026-08-25T19:41:36,83,13.34,223.6,34.28,170.1,11,1,0,0.0,running:1
2026-08-25T19:41:43,90,16.08,224.4,39.12,170.3,11,1,0,0.0,running:1
2026-08-25T19:41:51,98,10.05,225.5,43.28,170.9,11,2,0,0.0,running:2
2026-08-25T19:41:58,105,16.24,226.1,45.59,171.4,11,1,0,0.0,running:1
2026-08-25T19:42:06,113,12.39,226.1,52.21,176.8,11,1,0,0.0,running:1
2026-08-25T19:42:13,120,31.21,227.1,57.30,174.8,11,2,0,0.0,running:2
2026-08-25T19:42:21,128,10.48,227.8,58.83,174.4,11,1,0,0.0,running:1
2026-08-25T19:42:29,135,18.54,229.1,64.60,175.2,11,1,0,0.0,running:1
2026-08-25T19:42:36,143,8.46,229.7,65.77,176.7,11,1,0,0.0,running:1
2026-08-25T19:42:43,150,16.20,230.2,70.92,175.7,11,7,0,0.0,running:7
2026-08-25T19:42:51,158,16.45,230.1,70.53,176.5,11,4,0,0.0,IO:1 running:3
2026-08-25T19:42:59,165,7.65,230.7,47.36,178.8,11,3,0,0.0,running:3
